nums[] lenght;InsertionSort;SelectionSort;HeapSort;QuickSort;RefAlgorithm;;;;;;;;;;;;
11100;3689840;28403340;419110;28099210;15020;;;;;;;;;;;;
11150;2574990;24043300;434460;29868190;16350;;;;;;;;;;;;
11200;2034700;25281550;409170;27564360;15120;;;;;;;;;;;;
11250;2051470;24666270;597580;29644950;15430;;;;;;;;;;;;
11300;2620430;24010570;555470;28479470;20040;;;;;;;;;;;;
11350;3299770;25316400;434430;28880930;15230;;;;;;;;;;;;
11400;2999060;25966900;568450;29844900;15290;;;;;;;;;;;;
11450;2690920;25252720;439760;30283950;15410;;;;;;;;;;;;
11500;2224000;28459860;455740;31370550;15440;;;;;;;;;;;;
11550;2757240;28174980;421760;31409690;15490;;;;;;;;;;;;
11600;2821250;36076470;469190;30976430;15680;;;;;;;;;;;;
11650;2188970;27194330;426430;33509510;19830;;;;;;;;;;;;
11700;2550470;28517650;577170;32665250;19650;;;;;;;;;;;;
11750;3074910;28068820;453400;34126210;15790;;;;;;;;;;;;
11800;3835910;35064050;694930;39070100;16260;;;;;;;;;;;;
11850;3198120;26218470;462840;31691020;19190;;;;;;;;;;;;
11900;3528700;27465390;460810;31401730;15960;;;;;;;;;;;;
11950;2947480;26384770;605560;34028650;16040;;;;;;;;;;;;
12000;2947910;26616500;468310;31355810;16250;;;;;;;;;;;;
12050;3020320;28816560;682300;31693370;16150;;;;;;;;;;;;
12100;2990370;27755140;463230;33166820;16240;;;;;;;;;;;;
12150;3597610;27745610;466810;32329700;18950;;;;;;;;;;;;
12200;3489850;29509780;446680;35313340;20790;;;;;;;;;;;;
12250;2946240;29881800;472730;33886790;16350;;;;;;;;;;;;
12300;2430430;29341780;435060;35096310;18590;;;;;;;;;;;;
12350;3179160;30295680;437820;32554130;16580;;;;;;;;;;;;
12400;2470000;29229340;498370;34998420;18210;;;;;;;;;;;;
12450;3192340;30105530;447070;34422010;16780;;;;;;;;;;;;
12500;3197570;29308780;481150;33213640;16750;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
